"ASVs","2014F-GULD04-100mL","2014F-GULD04-100mS","2014F-GULD04-1mS","2014F-GULD04-20mL","2014F-GULD04-20mS","2014F-GULD04-250mL","2014F-GULD04-250mS","2014S-GULD04-100mL","2014S-GULD04-100mS","2014S-GULD04-1mS","2014S-GULD04-20mL","2014S-GULD04-20mS","2014S-GULD04-250mL","2014S-GULD04-250mS","2016F-GULD4-100m-L","2016F-GULD4-100m-S","2016F-GULD4-1m-L","2016F-GULD4-1m-S","2016F-GULD4-20m-L","2016F-GULD4-20m-S","2016F-GULD4-250m-L","2016F-GULD4-250m-S","2016S-GULD3-1m-L","2016S-GULD3-1m-S","2016S-GULD3-20m-L","2016S-GULD3-20m-S","2016S-GULD3-40m-L","2016S-GULD3-40m-S","2016S-GULD3-80m-L","2016S-GULD3-80m-S","2017F-GULD04-1mL","2017F-GULD04-1mS","2017F-GULD04-20mL","2017F-GULD04-20mS","2017F-GULD04-250mL","2017F-GULD04-250mS","2017F-GULD04-60mL","2017F-GULD04-60mS","2017S-GULD04-1mL","2017S-GULD04-1mS","2017S-GULD04-20mL","2017S-GULD04-20mS","2017S-GULD04-250mL","2017S-GULD04-250mS","2017S-GULD04-60mL","2017S-GULD04-60mS","2018F-SG23-1mS","2018F-SG23-20mL","2018F-SG23-20mS","2018F-SG23-250mL","2018F-SG23-250mS","2018F-SG23-60mL","2018F-SG23-60mS","2018S-GULD04-250mL","2018S-GULD04-250mS","2018S-GULD04-60mL","2019S-GULD04-250mL","2019S-GULD04-250mS","2019S-GULD04-60mS"
"eb904cbc064fc757e2ae116ca8461070",324,463,0,0,0,1524,33,0,50,384,0,403,506,63,212,72,0,0,34,86,336,102,0,0,0,0,0,0,0,0,0,214,0,56,3498,38,458,187,0,76,0,81,180,0,82,62,451,0,327,767,36,75,93,0,0,0,140,0,108
"969e7bdb8d81e205721cf56f1c189f9a",0,112,24,0,18,0,0,8,121,296,0,262,10,14,0,63,0,0,7,0,0,0,0,0,0,0,0,0,0,154,43,5959,58,1863,0,0,18,433,0,764,7,802,0,0,0,170,133,0,87,0,0,0,70,5,4,0,0,0,0
"e9648c2f0f7ae6629950ec3b50a3010b",5,214,0,0,0,0,0,215,1756,68,81,122,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,0,0,486,68,5,0,36,253,39,33,286,313,108,158,371,4566,0,0,0,7,0,0,0,167,104,449,15,8,755
"d40c6f6f8f263314b16f88d8c0cfff0a",241,413,0,0,0,63,0,77,0,0,0,0,596,0,51,0,0,0,0,0,45,0,0,0,0,0,0,0,55,0,57,0,0,0,5023,6,107,0,0,0,0,0,233,0,0,0,0,0,0,380,0,3185,166,249,0,0,0,0,0
"185ea7cfcd643c6b6255b114031e9d22",193,196,0,0,0,464,21,223,79,1996,214,1430,492,39,340,0,0,0,0,0,349,0,0,19,0,0,103,213,167,16,47,34,35,17,1050,0,537,36,0,280,119,160,249,0,120,0,79,50,59,856,0,201,14,204,0,0,169,0,31
"f3a9fd98978badad8a750929e89d4a03",44,89,0,0,0,169,25,150,301,106,0,196,1801,204,178,76,0,0,0,0,259,106,0,12,0,0,0,67,36,25,0,0,0,0,430,24,295,0,0,0,0,0,1122,213,189,272,0,0,0,1000,47,0,0,600,106,35,1832,146,156
"392c3d1d883ee2bfda1ede1a306c251a",168,62,0,0,0,293,0,1252,114,0,0,0,146,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,29,0,15,0,0,0,0,2125,6,2490,204,3039,6,15,5,0,0
"2c509295e05d70ca9f5efe08295296c8",0,64,0,0,0,29,32,28,522,0,0,0,0,60,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,0,0,0,0,0,0,0,36,0,163,2363,44,5649,0,0,0,0,0,0,0,0,19,0
"a10ddf7dd77e95fd02a323d1d4efe06c",134,88,0,0,0,344,0,52,44,451,58,169,149,0,156,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,28,71,0,39,2282,0,299,37,0,189,48,140,284,0,78,0,436,0,56,2249,0,60,17,73,0,0,407,0,30
"06e44c388907f4dcff4999ac008175b8",8,36,0,0,0,44,0,10,4,173,0,32,210,34,6,0,0,0,0,0,23,0,6,0,8,0,8,0,0,0,7,0,0,0,492,0,23,0,0,14,0,4,1520,167,34,11,0,0,0,107,0,16,0,433,0,40,4625,0,513
"b35877ebf892918a831c122ddc0116ba",136,756,0,0,0,351,142,335,2948,49,0,54,115,32,99,480,0,0,0,0,22,24,0,0,0,0,0,0,0,0,0,23,0,0,146,20,43,191,0,15,0,25,72,11,54,766,0,0,0,77,18,314,917,114,33,0,38,8,39
"81205e66e9ce9b6dac66d9d5ebf2d0a8",131,652,0,0,0,462,0,184,114,815,59,597,273,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,779,174,0,521,130,325,83,0,134,156,317,0,171,1075,0,146,0,107,0,0,163,0,0
"b53bf3a5e7f6d33d9dc545a207b60a95",0,0,0,0,0,158,0,98,105,1051,42,522,1631,181,339,0,0,0,0,0,1326,209,0,0,0,0,0,0,77,0,0,56,0,0,0,0,0,0,0,35,12,40,718,38,55,32,0,0,17,344,17,0,8,361,46,0,637,0,96
"ecbd14aa8a2eea1a9772b70e24b70c1f",51,2241,0,0,0,0,36,20,1280,0,0,28,87,307,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,30,0,22,257,2122,0,0,0,0,0,0,0,50,0,0,0,70,64,115,684,52,60,0,0,0,0
"2421b2ccd2f9f9f4e8e5486975c528f2",237,1589,0,0,0,0,0,55,834,0,0,8,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,393,0,51,0,0,38,141,0,9,0,41,0,0,45,172,1793,56,2174,0,0,53,133,16,11,7,0,0,82
"689e377993bb1b6607054dd55c0b604b",104,168,0,0,0,437,0,371,413,273,15,87,1188,97,203,17,0,0,0,0,248,25,0,0,0,0,0,0,0,0,0,50,0,0,686,0,146,0,0,0,20,74,370,0,117,59,225,57,315,930,43,104,41,233,16,0,757,27,63
"e5aa36c7e4ce2e9f259ea37f3a80d956",0,20,52,0,0,0,0,11,222,0,0,0,0,0,0,0,0,100,0,131,0,0,0,0,0,0,0,0,0,48,176,2581,61,697,0,0,0,0,0,183,0,152,0,0,0,62,2100,34,847,0,0,0,135,9,26,0,0,0,15
"48d663b2d7fbf5dc48d6b1f8ed82013b",42,213,0,0,0,705,15,0,0,0,0,38,776,301,308,43,0,0,0,0,187,28,0,0,0,0,0,0,0,0,0,0,0,0,2383,0,984,214,0,0,0,0,382,0,0,0,0,0,0,271,15,40,21,99,0,0,456,0,0
"054168fbb45f2ff54a8861645ac767ad",0,0,0,0,0,0,0,30,50,5212,72,1144,92,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,811,0,0
"b2d565c5b7cb5dcac474fa3d3c54accb",907,1320,71,0,0,161,30,83,67,782,63,349,75,0,161,64,33,49,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,292,175,0,45,0,72,0,0,0,0,414,115,451,185,53,1157,176,0,0,0,0,0,0
"2693ce33a718961037c17499e9562c2f",0,0,0,54,40,202,0,184,0,628,58,374,0,0,0,0,486,0,252,0,0,0,0,0,0,0,0,0,141,0,1129,556,277,112,174,0,193,0,25,500,208,197,63,0,58,0,309,264,113,203,0,291,0,0,0,39,0,0,0
"97a46d00f888362157926268aa9955fe",52,88,0,0,0,656,0,0,0,506,97,444,0,0,152,0,0,0,0,0,67,0,0,0,0,0,45,12,81,0,47,51,29,0,41,0,730,66,0,86,24,28,0,0,55,0,37,0,0,3568,0,114,0,20,0,0,0,0,43
"8271711b828aa4b98580884817f98d2e",0,0,0,0,0,25,0,0,0,0,0,0,299,55,7,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5221,0,0,0,0,0,0,0,328,9,0,0,0,0,0,612,0,0,0,51,0,0,376,0,0
"8511063accf0f29771e80d9d4bd3ceca",0,0,19,0,20,0,0,0,129,1139,0,711,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,22,0,63,147,1539,53,533,3,0,22,19,0,1252,47,857,0,0,0,0,193,11,95,0,0,0,0,0,0,0,0,0,0
"d382b5894290b55da59ae042ed61e8ef",42,94,0,0,0,0,193,0,0,0,0,0,0,0,0,0,2182,333,121,11,0,0,0,0,0,0,0,0,0,0,31,127,11,31,0,0,96,44,0,0,0,0,0,0,0,0,3432,10,117,0,0,0,0,0,0,5,0,0,0
"fef1bc9e5fb2d5208e7637b51ca58e9d",43,119,0,0,0,1493,0,69,0,0,0,0,662,103,146,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,78,0,0,0,0,0,757,0,89,43,0,0,0,1780,0,31,0,470,20,0,602,0,0
"caf7f8141383af75404d4ab868612029",72,0,0,0,0,0,0,187,1179,0,0,18,0,0,1678,160,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,10,0,0,1972,0,0,0,0,73,0,41,0,0,454,590,0,0,0,0,0,0,27,0,0,9,0,0,146
"be307d3937a235eaf7de941bc92ee29d",0,0,0,0,0,0,0,0,9,2345,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,23,0,28,0,0,0,0,0,0,0,2172,0,1169,0,0,0,6,119,0,0,0,0,0,10,0,0,0,0,0,0
"d916456eae61d00ed871269ea9560e9a",247,219,0,41,0,403,0,351,0,0,0,0,151,0,502,0,87,0,33,0,95,0,0,0,0,0,0,0,164,0,78,0,21,0,229,0,76,0,0,0,0,0,0,0,211,0,121,137,20,330,0,1956,55,176,0,80,789,0,0
"45d8c9ce0db8b3042e05442073a9f9ef",0,248,0,0,0,0,0,5,3973,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,62,0,0,25,1329,0,0,0,0,0,0,0,255,16,0,32,0,0,0,302,0,13,0,0,0,40
"38fcacc7f8833ac58acd8b81cc113c6f",6,484,0,0,0,0,0,0,497,1238,0,1445,11,22,0,33,0,0,0,0,0,0,0,607,0,692,55,532,0,264,0,54,0,19,0,0,37,167,0,50,12,52,0,0,0,59,0,0,0,0,0,10,86,7,0,0,0,0,29
"0d0f485674ae21dcfba63a1c059f04bf",72,129,0,0,0,243,0,0,0,434,0,360,78,0,122,106,108,167,121,113,59,0,0,0,0,0,30,0,0,0,249,880,124,334,272,0,338,123,0,76,0,96,0,0,0,0,616,0,307,167,0,170,320,0,0,0,0,0,0
"f3f0e6bc6e6bca7d46c02c4e611c8bbe",0,335,0,0,0,85,96,123,3902,432,8,242,31,44,0,28,0,0,0,0,0,27,0,28,0,0,0,0,0,39,0,0,0,0,9,0,0,26,0,112,0,133,0,18,0,214,0,0,0,0,0,0,93,66,55,0,0,0,25
"f9d978a22c32734a225b0e9271be34bc",85,477,0,0,0,348,0,0,0,0,0,0,2219,660,0,0,0,0,0,0,309,51,0,0,0,0,0,0,0,0,0,112,0,0,657,0,0,0,0,0,0,0,337,109,67,271,0,0,0,310,0,0,0,0,0,0,110,0,0
"4190494ffa882c4deaf88b812940eb78",0,56,0,0,0,170,64,0,0,0,0,0,505,369,0,0,0,0,0,0,143,304,0,0,0,0,0,0,0,0,0,0,0,0,3731,118,0,0,0,0,0,0,0,0,0,0,354,0,100,98,38,0,0,0,0,0,55,0,0
"3079ef33e1460a27fe610bbcebef6cf6",110,128,0,0,0,1071,312,138,85,0,0,9,0,0,47,0,0,0,10,0,296,256,0,0,0,0,0,0,0,0,0,0,0,0,541,23,0,0,0,0,0,0,126,0,0,0,0,0,0,2735,147,0,20,0,0,0,0,0,0
"9528c824bc8f2c4fc6e75883920dc352",0,726,0,0,0,0,0,0,602,1470,4,1036,0,73,0,52,0,0,0,0,0,0,0,74,0,98,0,90,0,65,31,544,10,158,0,0,45,196,0,126,0,78,0,0,0,141,0,0,0,0,0,9,204,9,52,0,0,0,38
"284d1178225cb1d83f75111e405dbdde",0,0,0,0,0,36,373,0,133,0,0,0,117,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,892,0,0,0,0,0,0,104,463,0,0,0,0,0,155,164,0,0,73,133,0,701,1030,0
"ab504a551bccf7ac3a1f9e903e4c6059",0,0,0,0,0,8,73,0,0,0,0,0,19,183,0,0,0,0,0,0,99,507,0,0,0,0,0,0,0,0,0,0,0,0,3722,277,0,0,0,0,0,0,376,379,0,0,0,0,0,0,3,0,0,5,20,0,53,8,0
"7f4393f60337f0353a520dc0f7c8d0e2",0,134,0,0,0,0,0,3,426,75,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,39,9,2022,4,931,0,0,97,1428,0,63,0,84,0,0,0,50,0,0,0,0,0,8,24,0,12,0,0,0,48
"64c2130c78eda7338c8535653bc34b52",0,96,0,0,0,0,372,0,3079,0,0,0,0,92,0,96,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,56,107,0,0,0,0,0,0,0,50,0,679,58,0,0,31,140,0,244,0,49,0,0,34,344
"12e82c92a1252436f2fa48fdcce7f9c8",70,59,0,0,0,207,0,54,45,0,0,0,264,0,485,0,241,0,172,0,148,0,0,0,0,0,0,0,0,0,126,190,0,53,482,0,430,0,0,0,0,0,123,0,174,0,954,113,177,334,0,353,85,95,0,0,134,0,0
"50941b4859c31409d29ea03e0f52fa6b",136,1431,0,0,0,37,42,55,476,92,0,26,81,30,17,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,22,261,0,0,206,982,0,0,0,0,0,0,0,42,61,0,189,95,0,129,440,106,57,0,0,27,158
"c46727dd06f7391648daac91d46bf2dd",0,44,0,0,0,79,0,0,0,232,22,42,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,4651,11,0,0,0,14,10,13,0,0,0,0,0,0,0,191,0,0,0,0,0,0,57,0,0
"8ead5e1c36bff2dfea86d6ac16582d03",0,77,0,0,0,307,0,57,0,782,78,201,669,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,88,80,48,310,0,238,0,0,282,168,109,131,0,107,0,0,0,0,383,0,85,0,126,0,0,821,0,0
"9b0f3eecc8fd756ea70facb31adbcb26",57,42,0,0,0,328,0,20,0,1876,593,1151,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,532,162,264,0,0,0,0,131,0,0,14,0,15,0,0,0,0,0,0,0
"b53da43cb17f689c6553a83b578bb604",0,0,0,0,0,0,0,12,22,3927,30,903,134,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,9
"241ea86db5f96bd775b7c59758f9e766",61,206,0,0,12,67,11,0,87,102,0,151,25,14,26,55,8,80,10,94,0,29,0,0,0,0,0,0,0,54,101,509,33,130,160,0,188,242,0,151,11,273,0,0,9,85,1017,19,589,69,26,31,242,8,0,0,20,0,33
"5232f29e65c310a7f2874e2869be3903",0,0,0,0,0,0,0,969,147,0,0,0,2259,96,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,283,35,0,0,0,0,0,75,0,407,0,119,452,0,0
"04ca3d9e33bfc4220f82a464a9acdc74",34,526,0,0,0,0,0,100,1275,62,10,369,4,178,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,267,4,80,0,0,121,1491,0,5,0,18,5,0,0,117,0,0,0,55,0,40,66,0,7,0,0,0,39
