# Constructed from biom file
#OTU ID	G10-ROS4	G26-NOAA5	G3-DAL6	G1-AWI11	G23-NOAA12	G14-ROS20	G6-DAL18	G19-AWI7	G27-eMock2-2	G9-NOAA17	G11-DAL30	G17-DAL12	G22-DAL24	G31-eMockB-20	G32-bMock2	G24-AWI15	G30-eMockB-18	G18-NOAA6	G20-ROS12	G35-bMock22	G4-ROS16	G7-NOC20	G12-NOC23	G15-AWI3	G28-eMock2-7	G29-eMockA-11	G33-bMock9	G21-NOC33	G5-NOC4	G34-bMock20	G2-NOAA29	G16-NOC11	G8-AWI19	G36-bMock27	G25-ROS8	G13-NOAA23
a8e11bcea533fa5dbe124e0ac1a57010	934.0	511.0	6.0	0.0	445.0	333.0	8.0	0.0	0.0	265.0	5.0	4.0	16.0	0.0	0.0	0.0	0.0	320.0	180.0	0.0	339.0	521.0	384.0	0.0	0.0	0.0	0.0	397.0	851.0	0.0	481.0	406.0	0.0	0.0	204.0	757.0
f5e713f523a1fcb0401f0d786f4170cb	638.0	771.0	472.0	239.0	393.0	295.0	310.0	163.0	0.0	175.0	277.0	140.0	553.0	0.0	0.0	86.0	0.0	426.0	149.0	0.0	327.0	380.0	447.0	524.0	0.0	2.0	0.0	320.0	750.0	3.0	723.0	323.0	172.0	0.0	183.0	673.0
893ddb0ea7f30889b34ae3cfd79137eb	576.0	830.0	1820.0	450.0	560.0	251.0	1301.0	288.0	0.0	254.0	1092.0	475.0	1698.0	0.0	0.0	178.0	2.0	470.0	163.0	0.0	317.0	382.0	410.0	971.0	0.0	0.0	0.0	317.0	656.0	0.0	738.0	300.0	321.0	0.0	206.0	1277.0
6fedb278f91c7b921aeaac95c29fc33c	507.0	46.0	30.0	0.0	9.0	165.0	25.0	3.0	0.0	1.0	7.0	8.0	22.0	0.0	0.0	0.0	0.0	25.0	118.0	0.0	224.0	434.0	553.0	3.0	0.0	0.0	0.0	466.0	953.0	0.0	49.0	502.0	3.0	0.0	125.0	22.0
a9ca4a33659c034cd85c83089d3a3ba8	470.0	0.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	249.0	4.0	2.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0	4.0	0.0	0.0	151.0	0.0
d28afaadaa9b3af0ec3cbaba22d45c75	386.0	520.0	0.0	0.0	502.0	202.0	0.0	0.0	0.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.0	128.0	0.0	284.0	0.0	4.0	0.0	0.0	0.0	0.0	10.0	9.0	0.0	618.0	8.0	0.0	0.0	146.0	954.0
33e606a17333cb5dc7cd0e67cc5f3e8b	279.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	76.0	666.0	499.0	0.0	0.0	0.0	0.0	578.0	1249.0	0.0	0.0	635.0	0.0	0.0	65.0	0.0
66cc1385b844ca37a9f49713cff221ba	274.0	97.0	44.0	0.0	46.0	145.0	49.0	0.0	0.0	10.0	38.0	15.0	50.0	0.0	0.0	0.0	0.0	58.0	102.0	0.0	174.0	294.0	351.0	0.0	0.0	0.0	0.0	359.0	784.0	0.0	71.0	382.0	0.0	0.0	88.0	80.0
fc3e098d42f7370f4539050d334ce881	236.0	320.0	0.0	0.0	212.0	110.0	3.0	0.0	0.0	148.0	3.0	3.0	4.0	0.0	0.0	0.0	0.0	127.0	46.0	0.0	98.0	145.0	175.0	0.0	0.0	0.0	0.0	133.0	320.0	0.0	255.0	159.0	0.0	0.0	49.0	465.0
6268dae028e7ffc40ac8256ca5220ba6	220.0	1018.0	37.0	0.0	690.0	89.0	45.0	0.0	0.0	545.0	25.0	12.0	45.0	0.0	0.0	0.0	0.0	504.0	40.0	0.0	125.0	897.0	883.0	0.0	0.0	0.0	0.0	822.0	1868.0	0.0	922.0	850.0	0.0	0.0	67.0	1550.0
1dee632b2401f9b46a88590dcb62d82b	183.0	6.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	164.0	208.0	192.0	0.0	0.0	0.0	0.0	181.0	389.0	0.0	0.0	161.0	0.0	0.0	69.0	0.0
dd1e6ca71c98d8fd889daff0e1b3955b	172.0	7.0	0.0	0.0	7.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	45.0	0.0	78.0	122.0	133.0	0.0	0.0	0.0	0.0	149.0	334.0	0.0	10.0	151.0	0.0	0.0	36.0	0.0
ae2d16a77603b63b752e4ad7490a6274	160.0	293.0	0.0	0.0	210.0	106.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	60.0	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.0	0.0	0.0	0.0	80.0	460.0
7e61db192608598e8c1230eaa7655dc2	154.0	37.0	0.0	0.0	27.0	77.0	0.0	0.0	0.0	19.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	32.0	0.0	46.0	87.0	78.0	0.0	0.0	0.0	0.0	89.0	133.0	0.0	23.0	92.0	0.0	0.0	34.0	32.0
