Feature ID	domain	phyla	class	order	family	genus	specie
31a564e02612e90cc3442794be1e38b2	d__Bacteria	 p__Bacteroidota	 c__Rhodothermia	 o__Balneolales	 f__Balneolaceae	 g__Balneola	 s__uncultured_Bacteroidetes
122a887d2bfb80b9f7d9f741a1fab959	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Oceanospirillales	 f__Saccharospirillaceae	 g__Thalassolituus	 s__Thalassolituus_oleivorans
1c447af77fa2612500a6aad8526ff06c	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__HOC36	 f__HOC36	 g__HOC36	 s__marine_metagenome
06ebbc0534aa96588db74c7ca34d746b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__BD7-8	 f__BD7-8	 g__BD7-8	 s__uncultured_bacterium
6dec1b35ecf9518b8ac5015ef9b8015f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Hyphomonas	
c60414d46fcd33145afbe7c3465bf082	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Magnetospiraceae	 g__uncultured	 s__uncultured_Rhodospirillaceae
ee563a66bceb897ebb344f94038110d5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Puniceispirillales	 f__SAR116_clade	 g__SAR116_clade	 s__uncultured_bacterium
52f8a35c932d2612543f30825f1a0470	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__NS5_marine_group	 s__uncultured_Flavobacteriia
cb919f9c31167dfe482fbb9af2a750ca	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Hoeflea	
08755a4b873fe5da4b859663591e2514	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
d79f3ffd3395d1a9051fdde33d2c9955	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Oceanospirillales	 f__Pseudohongiellaceae	 g__Pseudohongiella	
3e12c594a36bba229ff5c1d042cd5847	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Parvibaculales	 f__PS1_clade	 g__PS1_clade	
e64068306d904a95c2317bf887682dda	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Maricaulis	 s__Maricaulis_maris
399c88bcd117b01b179b7fca6f20685f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Magnetospiraceae	 g__uncultured	 s__uncultured_bacterium
158d16ce914f5481fe167e56c1451a58	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Altererythrobacter	 s__uncultured_Sphingomonadales
7ca8dbf3f7f22c6e8a63d9677cf997d4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Jannaschia	
72c2c8d7c3c29ca8a8c0bee457e26453	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Magnetospiraceae	 g__uncultured	 s__uncultured_bacterium
a2d56bd7900b3a83a22b827c0078d293	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__Sva0996_marine_group	 s__uncultured_organism
13fdaf94a38d86afffd5aa9f76b138a4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Erythrobacter	 s__Erythrobacter_atlanticus
2e2b1ad032a52b24e57136b9e9f6d36f	d__Bacteria	 p__Marinimicrobia_(SAR406_clade)	 c__Marinimicrobia_(SAR406_clade)	 o__Marinimicrobia_(SAR406_clade)	 f__Marinimicrobia_(SAR406_clade)	 g__Marinimicrobia_(SAR406_clade)	 s__metagenome
b05642a985d5a14475681e51900b9da7	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
d9734e71ea507ad5375328282a6d20e6	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae	 g__Halioglobus	 s__uncultured_gamma
eb5a8542f1b8bf5d2bd63f20155c7df7	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae	 g__Halioglobus	
3ceece15bc5ca20d9a541dfbb1dd6e6b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Stappiaceae	 g__Labrenzia	
