Feature ID	domain	phyla	class	order	family	genus	specie
371e63da1efea9ca27cdf326e87116de	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_6__Tentaculata	D_7__Cydippida	Ambiguous_taxa
8f4b1a0d328efb3c48b679431721a448	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata			
4df8ba2c27bad7205196634fe3432dcf	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_6__Mediophyceae	D_7__Thalassiosira	
aa22e3565876e1da34070f9e08a3621b	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Syndiniales Group I	
244d5be31123b7673f4583c5bd5812f2	D_0__Eukaryota	D_1__SAR	D_2__Alveolata				
9dae0b9602c13a20d75af46d22eee4c0	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Amoebophrya	Ambiguous_taxa
bdf60ced9f89a8f97d33dae96fc5d89c	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__MAST-1	D_4__MAST-1A		
12febf120212d0e9ac393b4401b83919	D_0__Eukaryota	D_1__SAR	D_2__Rhizaria	D_3__Cercozoa	D_4__Thecofilosea	D_5__uncultured	
233ffbb60d0b1e266ff85d93bfac9e2e	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Syndiniales Group II	Ambiguous_taxa
38af324332aa783af0bbf3ad2e759c5d	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_6__Tentaculata	D_7__Cydippida	Ambiguous_taxa
d4af395689a0b34449cfb7610e95d4ce	D_0__Eukaryota	D_1__SAR	D_2__Rhizaria	D_3__Cercozoa	D_6__Protaspidae	D_7__Cryothecomonas	Ambiguous_taxa
c8d5ba79eed5dc63e65d2bbc80d7d92a	D_0__Eukaryota	D_1__Cryptophyceae	D_2__Kathablepharidae	D_3__Leucocryptos	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
126237231d33f5ac824ca7faf3c47e1c	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Prymnesiales			
d854f03c93e12e3f9223104b2b7bca90	D_0__Eukaryota	D_1__Cryptophyceae	D_2__Cryptomonadales	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
af17afd2dc440213b0406d35f0745cd1	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Ciliophora	D_6__Choreotrichia	D_7__Stenosemella	D_8__Stenosemella pacifica
d4e62b89fe6e315a9c274c71f82bec59	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Syndiniales Group I	D_6__Uncultured marine alveolate Group II DH145-EKD20
68c93013363293433fe4860cb4b882c9	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi			
ff309fdc08eed596c5c9f8ff578b17d0	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__uncultured	D_4__uncultured eukaryote	D_5__uncultured eukaryote	D_6__uncultured eukaryote
c5f9676b6769d400292b8b3488f8fb1c	D_0__Eukaryota	D_1__SAR	D_2__Rhizaria	D_3__Cercozoa	D_4__Novel Clade 2	D_5__Uncultured Cercozoa	D_6__Uncultured Cercozoa
b6a468f9b9099c769fbde48083277a89	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Prymnesiales	D_4__Chrysochromulina		
f1706d6cada2e7c2780bf99b0f4df33a	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Ciliophora	D_6__Oligotrichia	D_7__uncultured	D_8__seawater metagenome
3a14c033785a6b65694114933121ff0c	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi	D_9__Aspergillaceae		
73aaea377348190627755b9b1253f714	D_0__Eukaryota	D_1__Haptophyta	D_2__Pav3	D_3__uncultured haptophyte	D_4__uncultured haptophyte	D_5__uncultured haptophyte	D_6__uncultured haptophyte
e3a5eb372991c4ddfba6601732af7520	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__MAST-2	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
50d0837837952c5f374738b6053b64f4	D_0__Eukaryota	D_1__Amoebozoa	D_2__Protosporangiida	D_3__Protosporangiidae	D_4__Protosporangium	D_5__uncultured marine eukaryote	D_6__uncultured marine eukaryote
535c305d6f3a9485d451f7f8ab64cb3c	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Amoebophrya	Ambiguous_taxa
9c41094bab61e11fdf6bebabd70bdba8	D_0__Eukaryota	D_1__SAR	D_2__Rhizaria	D_3__Cercozoa	D_4__Thecofilosea	D_5__uncultured	D_6__uncultured Rhizaria
00572bef597761c3bca1c4d6ae19ccc9	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Amoebophrya	D_6__uncultured marine eukaryote
8876c2d0b3e23d480ee78b4b4d5b5e82	D_0__Eukaryota	D_1__Incertae Sedis	D_2__Telonema	D_3__uncultured eukaryote	D_4__uncultured eukaryote	D_5__uncultured eukaryote	D_6__uncultured eukaryote
b5200df0aa2f8ad7cab3e939c437b94a	D_0__Eukaryota	D_1__SAR	D_2__Rhizaria	D_3__Cercozoa	D_4__Novel Clade 2	D_5__Uncultured Cercozoa	D_6__Uncultured Cercozoa
3c8e4031d9fa3d507adcd5ee37f0cc1d	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Syndiniales Group I	D_6__uncultured marine picoeukaryote
a671a9ba484cc3121c0f907c27c618f3	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Choanoflagellida	D_4__Clade L	D_5__uncultured freshwater eukaryote	D_6__uncultured freshwater eukaryote
bfd0b00a6c11ab5812781249be344718	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__MAST-1	D_4__MAST-1C	Ambiguous_taxa	Ambiguous_taxa
5fbbc7d38cd83a36826ea753581dba45	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Ciliophora	D_6__Oligotrichia		
dbe51675fb20e835b557b350f96e26ab	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_6__Bacillariophyceae	D_7__Cylindrotheca	D_8__Cylindrotheca closterium
1e91930c89bee0e9f5f35567890680f4	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_9__Copepoda	D_10__Calanoida	D_11__Acartia hudsonica
8e95938d9076cdb84d8ff47567cb2f9e	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Syndiniales Group III	D_6__uncultured eukaryote
