Feature ID	domain	phyla	class	order	family	genus	specie
7b7f72b952c0cde58081547e8fb50d0e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__Vicingus	
267a4e5749b3faf5a88f227867f2bafb	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_marine
b4a6388a10eb361f0c751d56b83475e9	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Xanthomonadaceae		
b563709d3a0fdef17fb15d75d7a36f8e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae	 g__Crocinitomix	
f2e458aaddb458ce377fcb7b68acb32b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Aureispira	 s__uncultured_bacterium
cd8e6619663cadcc38e305d2603d97c3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__uncultured	 s__uncultured_bacterium
7d59729acd2c949214999f196b7b1d97	d__Bacteria	 p__Acidobacteriota	 c__Thermoanaerobaculia	 o__Thermoanaerobaculales	 f__Thermoanaerobaculaceae	 g__Subgroup_10	 s__uncultured_bacterium
5f7c52ad456a08cd750a5d1f866fed9d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria	 s__marine_metagenome
1e0d4d51a38a3975ad1f17340624bf87	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__EPR3968-O8a-Bc78	 f__EPR3968-O8a-Bc78	 g__EPR3968-O8a-Bc78	 s__uncultured_bacterium
b8ded2983caf8c196e38276c2af194ea	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_bacterium
88e8a2b3337def3b42450433f4ca0985	d__Bacteria	 p__Nitrospinota	 c__Nitrospinia	 o__Nitrospinales	 f__Nitrospinaceae	 g__Nitrospina	 s__uncultured_marine
4cb5c79abe0a3b611671b1f356a86f19	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__Pseudomonas_rhizosphaerae
b66ee665e90d07fbaf17d37311cd313f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Psychromonadaceae	 g__Psychromonas	 s__uncultured_proteobacterium
d7a6eb87b5539b7caba95bb4d3f6734c	d__Bacteria	 p__Chloroflexi	 c__Dehalococcoidia	 o__SAR202_clade	 f__SAR202_clade	 g__SAR202_clade	 s__hydrothermal_vent
1b43d1f363aaf2aaa39e2bdd78b30a93	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Formosa	 s__uncultured_marine
fd55e4491e6b3cf2259827d9f78367d6	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Prolixibacteraceae	 g__Roseimarinus	
1ecdec74c5d149784151683f89f5fe49	d__Bacteria	 p__SAR324_clade(Marine_group_B)	 c__SAR324_clade(Marine_group_B)	 o__SAR324_clade(Marine_group_B)	 f__SAR324_clade(Marine_group_B)	 g__SAR324_clade(Marine_group_B)	
d1ffbe0f4fc452992cf851d123ea2380	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Methylococcales	 f__Cycloclasticaceae	 g__Cycloclasticus	
8f2c3d85f3ae238f01604d28b045bddc	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Puniceispirillales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
4a2ae04b719a7aea71406b6932386725	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__NS10_marine_group	 s__uncultured_marine
8ce4b9424409f29430b9edada0af1c8e	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Gimesiaceae	 g__uncultured	 s__uncultured_bacterium
22f7564d3cd9bf935d15d070ccd2ae9f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales			
b3236180e75ad1cba683f82aeac062dd	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__NS10_marine_group	 s__uncultured_Bacteroidetes
075ea073a49d51b6d8c7a72dac28f8e9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_bacterium
4e3245724ee7704d9506b06e80e6917d	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__JL-ETNP-F27	 s__uncultured_bacterium
76a3c662371f15cba4a80ef702587481	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__unidentified_bacterium
